gene,chromosome,start_position,end_position
CFTR,7,117287120,117715971
SLC26A5,7,103352730,103446207
CETP,16,56961923,56983845
CD300C,17,74534362,74546133
EEF2K,16,22206272,22288738
S1PR3,9,88990863,89005155
LRRC1,6,53794497,53924125
KRTAP4-3,17,41167231,41168221
LCE3D,1,152579381,152580516
WWOX,16,78099400,79212667
COL13A1,10,69801880,69964275
ZNF521,18,25061924,25352194
PARP8,5,50665899,50846519
LDLRAD3,11,35943981,36232138
BZW1,2,200810594,200827338
ERN1,17,64039080,64130819
PRR27,4,70133616,70176799
KRTAP10-2,21,44550357,44551505
TOB2,22,41433489,41446801
TMEM61,1,54886833,54992296
SLC28A2,15,45252234,45277846
CYP20A1,2,203238952,203306026
GCDH,19,12891128,12915126
DYNLL1,12,120469804,120498495
PRR14L,22,31676256,31750207
SNX4,3,125446644,125520233
C12orf42,12,103237591,103495978
OPA3,19,45527767,45602212
CALML3,10,5524961,5526771
ABHD12B,14,50872053,50904970
NCF4,22,36860988,36878017
GMEB2,20,63587601,63628426
OR51T1,11,4881819,4882883
RGP1,9,35748613,35758600
ADAM7,8,24440930,24526970
KLHDC4,16,87696485,87765998
GP6,19,55013705,55038264
TTLL12,22,43166622,43187134
BPIFC,22,32413845,32464484
PRCC,1,156750610,156800817
HSPA1L,6,31809619,31815788
CPA4,7,130293134,130324180
UPK3A,22,45284924,45295874
PRAMEF6,1,12938472,12947580
ATR,3,142449007,142578781
P2RY6,11,73264498,73305103
TSR2,X,54440402,54448032
ARSJ,4,113900284,113979727
UBE2D4,7,43926436,43956136
TCERG1L,10,131092391,131311736
DNAI2,17,74274234,74314886
CAMK1D,10,12349547,12835545
NPPB,1,11857464,11858976
RBMY1B,Y,21511338,21525786
RUNDC1,17,42980552,42995142
ANXA2R,5,43039233,43043170
KCNJ15,21,38155549,38307357
FLG,1,152302165,152325239
P2RX2,12,132618776,132622388
SUCNR1,3,151873643,151884619
MRPL47,3,179582420,179604659
NFS1,20,35668052,35699373
BCL9L,11,118893875,118925926
ABHD18,4,127965267,128039953
ZSWIM6,5,61332258,61546172
ORAI3,16,30949068,30956461
ATP7A,X,77910690,78050395
TCP11,6,35118071,35148610
COPS6,7,100088948,100093340
PLA2G12A,4,109709989,109730070
UBC,12,124911604,124917368
MAPK15,8,143716279,143722458
XBP1,22,28794555,28800597
MTRES1,6,107028184,107051586
PIGO,9,35085493,35096632
ANKRD24,19,4182630,4224818
CREB3L1,11,46277637,46321422
PSMD6,3,64010549,64024010
MRAP,21,32291813,32314784
DDX17,22,38483438,38507660
ADAM12,10,126012381,126388477
OR4M1,14,19773504,19783696
MSX1,4,4859665,4863936
RAMP3,7,45157648,45188665
ADRB3,8,37962990,37966599
E2F6,2,11444375,11466177
PSORS1C2,6,31137534,31139066
PHF8,X,53936676,54048958
CMTM4,16,66614750,66696743
USP17L7,8,12132417,12134099
HIGD2A,5,176388751,176389761
H3Y2,5,17490967,17492076
PCK2,14,24094053,24110598
GAP43,3,115623510,115721490
DNAJA3,16,4425805,4456775
PCSK4,19,1481428,1490752
PACS1,11,66070272,66244744
NCF1,7,74773975,74789376
CEACAM7,19,41673298,41706976
PRKAA1,5,40759389,40798374
ADAM10,15,58588809,58749842
ZFP36,19,39406847,39409407
BCKDK,16,31106107,31112791
SRC,20,37344673,37406050
CTTN,11,70398404,70436584
IL17F,6,52236681,52245689
ZXDA,X,57905430,57910458
FAM151B,5,80487969,80542563
CCDC60,12,119334703,119541047
RPAP2,1,92299028,92402056
ARL4C,2,234493041,234497081
CHTF18,16,788046,800737
NXPH1,7,8433609,8752961
RNF224,9,137226908,137229640
SEC22B,1,120150898,120176520
PBX2,6,32184733,32190202
CCDC24,1,43991359,43996529
FAM174C,19,1275530,1279244
GSG1L2,17,9800608,9822079
TMEM156,4,38965999,39032922
TRAFD1,12,112125514,112153610
PPARGC1B,5,149729994,149855022
PRKD2,19,46674275,46717127
SKP2,5,36151989,36196849
SETD2,3,47016428,47164113
SEC11A,15,84669529,84716460
CD24,6,106969831,106975627
MUCL3,6,30940973,30954221
FAAH2,X,57286632,57490641
PRAMEF12,1,12773738,12777906
XKR5,8,6805013,6835526
PEX11G,19,7476869,7497449
UMPS,3,124730433,124749273
NHS,X,17375200,17735994
TMEM151A,11,66291894,66296664
H2AC1,6,25723397,25726562
OSER1,20,44195939,44210872
WDR87,19,37884823,37906677
OR1Q1,9,122614738,122615682
TMEM237,2,201620184,201643570
RTL8B,X,135020513,135022542
P2RX7,12,121132819,121188032
VASH1,14,76761468,76783015
TBX10,11,67631303,67639763
TOR1B,9,129803157,129811281
DARS2,1,173824540,173858808
FAM24A,10,122910610,122913111
RNF167,17,4939997,4945222
PRELID3B,20,59033143,59042897
CHRNA5,15,78565520,78595269
MRPL53,2,74471982,74472687
PCDHGB7,5,141417645,141512975
RNF217,6,124962437,125092633
TDRD5,1,179591613,179691272
LRRFIP1,2,237627554,237813682
LSM1,8,38163335,38176730
TNFSF13B,13,108251240,108308484
KRT26,17,40766238,40772201
TMEM87B,2,112055269,112119318
CASP10,2,201182693,201229428
SMAD9,13,36844831,36920887
C1QTNF1,17,79022729,79049788
MAPK14,6,36027738,36122511
BCAP29,7,107579957,107629170
NUB1,7,151341708,151378461
UBE2Q2,15,75843307,75901078
CAND1,12,67269358,67319953
OSBPL7,17,47807367,47821803
GNL3,3,52681156,52696160
CDK7,5,69234795,69277430
PHKA1,X,72578814,72714327
MTFR2,6,136231024,136250571
PDCD2,6,170575295,170584692
TPPP2,14,21024109,21036276
ZNF571,19,37554782,37595134
FSD1L,9,105447796,105552433
F2RL3,19,16888999,16892606
KPTN,19,47475141,47484265
TUBB6,18,12307287,12344320
TST,22,37010859,37024797
CDC42EP4,17,73283624,73312005
YY1AP1,1,155659446,155689334
NPIPB2,16,11927259,11976643
USP20,9,129834698,129881842
PPP2R5C,14,101761682,101927989
SEPTIN9,17,77280569,77500596
VSNL1,2,17539020,17657018
HBD,11,5232678,5243657
MFSD3,8,144509070,144511213
C10orf90,10,126424997,126798708
COLCA1,11,111290787,111305498
G3BP1,5,151770951,151812911
OR1C1,1,247754846,247760556
RAMP1,2,237858893,237912111
INA,10,103277138,103290351
AGL,1,99849777,99924024
DRC1,2,26401920,26456717
PTPN9,15,75463251,75579583
NPTX2,7,98617285,98629869
TCEAL4,X,103576231,103590165
CMPK1,1,47333790,47394866
FOXN4,12,109277978,109309284
ETFA,15,76188555,76311730
RBMXL2,11,7088998,7091148
PIP5K1C,19,3630181,3700487
CCDC169,13,36222008,36297840
PLA2G2C,1,20161253,20186518
SCAMP1,5,78360114,78480739
SLC35F4,14,57563920,57982194
OR10AD1,12,48202339,48203292
RPAIN,17,5419216,5432882
VPS45,1,150067279,150145329
PAK1IP1,6,10694633,10711166
IL17C,16,88638572,88640468
HIKESHI,11,86302181,86345943
B4GALT2,1,43978943,43991173
EXOSC8,13,36998816,37025881
DCDC2,6,24171755,24360249
NBPF20,1,145289900,145425603
EDF1,9,136862115,136866312
SLC52A1,17,5032600,5052009
LAMTOR3,4,99878336,99894428
OR1D5,17,3062669,3063607
ACAA2,18,49782164,49813953
KSR2,12,117453012,117968990
ASB7,15,100602547,100651703
CLVS1,8,61057158,61501645
AMER3,2,130755540,130768134
SRP54,14,34981957,35029686
ZNRF2,7,30284418,30370457
BAZ1A,14,34752028,34875647
EXOSC7,3,44975241,45036066
TFF1,21,42362282,42366535
ERICH1,8,614746,738106
OR14C36,1,248348775,248349713
STX10,19,13144058,13150383
RAB11FIP1,8,37858618,37899513
MINK1,17,4833147,4898065
NUDT7,16,77722485,77742260
TMEM88,17,7855059,7856114
EMP2,16,10528422,10580689
TRAPPC6A,19,45162928,45178265
NUP155,5,37288137,37371140
POM121L12,7,53035633,53036925
GPD2,2,156435290,156613735
PPP1R11,6,30066709,30070333
RFTN2,2,197568224,197676051
FAM83D,20,38926312,38953106
GPRIN1,5,176595802,176610177
PDIA3,15,43746394,43773279
H2AJ,12,14774405,14778002
LSM10,1,36391238,36397945
GLRX5,14,95533503,95544724
ZDHHC12,9,128720864,128724137
MVB12B,9,126326815,126507041
NDUFS3,11,47565336,47584565
XAF1,17,6755377,6775647
IAH1,2,9473658,9496543
PNPLA2,11,818914,825573
CPN2,3,194339630,194351401
C2orf78,2,73784183,73817148
DSG2,18,31497624,31551351
SPATA4,4,176184579,176195585
KLK3,19,50854915,50860764
HEY1,8,79762371,79767857
CIAO2B,16,66932065,66934423
MTCP1,X,155064034,155147937
SEL1L3,4,25747433,25863760
ALKBH4,7,102456238,102464865
C5,9,120932987,121075195
PARD3,10,34109560,34815419
ACVR1B,12,51951679,51997082
TRMT112,11,64316460,64318074
TSPAN13,7,16753745,16784536
DCAF10,9,37800554,37867666
C2orf66,2,196804417,196809355
RABGGTB,1,75786188,75795086
LHX1,17,36936784,36944612
CCDC134,22,41800321,41832172
OR52B2,11,6169355,6170326
TPRA1,3,127571232,127598318
SEMA5A,5,9035033,9546142
IQCE,7,2558972,2614733
FCAMR,1,206957965,206970625
VN1R5,1,247255972,247257210
RSPO2,8,107899316,108083790
EGLN2,19,40798996,40808444
CYB5R2,11,7665097,7677222
SHCBP1L,1,182899865,182953525
PIK3CB,3,138652336,138834957
GBA3,4,22692914,22819575
ABRAXAS1,4,83459517,83523348
TENT5D,X,80335504,80445311
SPAG5,17,28577565,28599025
POLR2C,16,57462660,57472009
DMRT2,9,1049000,1057563
DNASE1,16,3611728,3680143
SLCO1B3-SLCO1B7,12,20815674,21090245
GALNT16,14,69259277,69357033
ASB17,1,75918873,75932404
ERMN,2,157318626,157327713
ZBTB21,21,41986831,42010387
MYO1F,19,8517463,8577464
NTHL1,16,2039814,2047866
H4C14,1,149832657,149839767
VWA5B2,3,184228996,184242342
DDIT4L,4,100185870,100190782
NGF,1,115285904,115338770
IL12RB2,1,67307364,67398724
PPP3CA,4,101023409,101348278
PI3,20,45174902,45176544
ACCSL,11,44047981,44059977
CRH,8,66176376,66178464
CWH43,4,48986162,49062093
SPINK7,5,148312419,148315922
TRIM3,11,6448613,6474459
EFHC2,X,44146255,44343850
COX5B,2,97646062,97648383
HLA-DRB3,HSCHR6_MHC_APD_CTG1,3824514,3837642
GNG5,1,84498284,84507237
C10orf67,10,23202696,23344845
PRM1,16,11280841,11281330
TUBG2,17,42659223,42667007
NPNT,4,105894775,106004027
NDUFB2,7,140690777,140723923
AAMP,2,218264125,218270178
MAP3K11,11,65597755,65615382
EDEM1,3,5187646,5219958
STX5,11,62806860,62832051
TFAP2D,6,50713526,50773033
NXN,17,799310,979776
NUTM2G,9,96928310,96940253
DEFB109B,8,7312722,7320096
PDE4D,5,58969038,60522120
ITPRID2,2,181891730,181930738
GPRASP2,X,102712056,102717733
PAK5,20,9537370,9839076
PTGDS,9,136975053,136981750
POLA2,11,65261913,65305959
SERPINA3,14,94612377,94624645
ARHGAP19,10,97222173,97292673
IQUB,7,123452174,123535077
GTF2H2C,5,69558392,69595221
ZNRF1,16,74999014,75110994
MBIP,14,36298555,36320671
CYGB,17,76527356,76551175
MLIP,6,53929982,54266946
SLC9A3,5,470456,524449
UGT2B4,4,69480137,69526017
PPP1R13B,14,103733195,103847614
TGM3,20,2296001,2341079
DDX39B,6,31530218,31542451
SP9,2,174334954,174338500
KCNB1,20,49293394,49484297
CXCL9,4,76001275,76007509
PRR4,12,10845849,11171600
LRIF1,1,110946652,110963988
LHX4,1,180230188,180278984
CSTF2,X,100820369,100841523
CHAC2,2,53767804,53775196
NRG2,5,139846779,140043299
LIAS,4,39459004,39485109
VTI1A,10,112446998,112818744
CPNE3,8,86514435,86561498
SH3TC1,4,8182072,8241803
RWDD4,4,183639635,183659203
ACP2,11,47238400,47249288
PPP1R26,9,135479073,135488897
USP31,16,23061406,23149452
POLR1B,2,112541915,112579818
STX4,16,31032889,31042975
HGFAC,4,3441924,3449493
TMPO,12,98515561,98550351
PBRM1,3,52544735,52685966
HSD17B6,12,56751817,56788409
FASTKD5,20,3146519,3159865
BNIP2,15,59659146,59689350
LSM2,6,31797392,31806987
KCNJ16,17,70053429,70135608
TARBP2,12,53500921,53506431
EEPD1,7,36153075,36301557
LPAR1,9,110871773,111038863
KLHDC10,7,130070534,130135720
MLLT10,10,21524617,21743630
ARMCX1,X,101550411,101554704
TAOK2,16,29973868,29992261
ZNF660,3,44578223,44599694
ZNF646,16,31074403,31084196
KRR1,12,75490863,75511636
SPANXN4,X,143025928,143034702
DAND5,19,12965159,12974760
IGSF22,11,18704312,18726230
LCN9,9,135663309,135666961
CABP4,11,67452406,67461752
CXorf51B,X,146809771,146810411
C3orf62,3,49268596,49277232
NT5M,17,17303331,17347663
CARHSP1,16,8852942,8870941
OR2M7,1,248323630,248324568
TMEM44,3,194587673,194633689
LMNB1,5,126776623,126837232
ANKRD50,4,124664048,124712732
NOXO1,16,1978912,1984636
COPA,1,160288594,160343566
NXT2,X,109535781,109544698
SPRTN,1,231337104,231355023
FYB2,1,56718789,56819696
ANK1,8,41653220,41896741
CT62,15,71110244,71116593
CLUH,17,2689386,2712663
FAM131C,1,16057769,16073651
TPI1,12,6867119,6870948
NEB,2,151485336,151734487
REM1,20,31474979,31484917
DCTN6,8,30156319,30183639
INCA1,17,4988130,4999117
GPN2,1,26876132,26890283
ZNF713,7,55887456,55942530
CBX8,17,79792132,79801683
STOX2,4,183797692,184023526
EBAG9,8,109539711,109570072
KANSL1,17,46029916,46225389
APLP2,11,130068147,130144811
NAT8L,4,2059327,2069089
ZNF182,X,47974851,48004375
NKTR,3,42600471,42648738
MPDU1,17,7583529,7592789
ATAD5,17,30831966,30895869
PLAUR,19,43646095,43670547
GDF1,19,18868545,18896158
PSIP1,9,15464065,15511202
KERA,12,91050491,91058024
CNTLN,9,17134982,17503923
DRICH1,22,23608452,23632321
SNX6,14,34561093,34630177
BCLAF3,X,19912860,19991097
OR5K1,3,98463201,98472924
RPA3,7,7634843,7718607
YPEL5,2,30146771,30160538
SHMT2,12,57226554,57234935
LAG3,12,6772360,6778455
SOCS2,12,93569808,93583487
EXTL2,1,100872372,100896000
ATXN2L,16,28822999,28837237
ZNF784,19,55620741,55624566
PTGIS,20,49503874,49568157
OR5H14,3,98147479,98156614
GIMAP6,7,150625375,150632648
TNIP2,4,2741648,2756367
OR2T12,1,248290139,248303424
KRTAP19-4,21,30496824,30497165
CNNM3,2,96816245,96835382
SPNS3,17,4433940,4488208
RSPH10B2,7,6754101,6799365
BCAN,1,156641390,156659532
CNTRL,9,121074660,121177729
DDX3X,X,41333348,41364472
MTF2,1,93079235,93139079
C19orf18,19,57958437,57974534
GLRA2,X,14529298,14731812
CLEC16A,16,10944539,11182186
VPS72,1,151176304,151195321
GTPBP2,6,43605316,43629264
TFDP1,13,113584525,113641509
SLC35A4,5,140564819,140569100
ACSF3,16,89088375,89164121
RNF113A,X,119870475,119871733
IRF6,1,209785254,209806217
GNPDA1,5,141991749,142013057
CCNJL,5,160249083,160345396
SLC23A3,2,219161465,219170095
TMEM117,12,43835967,44389762
RBP7,1,9997054,10016021
HLA-DRA,6,32439872,32445047
DENND6A,3,57625454,57693127
MARS2,2,197705369,197708395
MRPL9,1,151759647,151763496
UTY,Y,13234577,13480673
KCMF1,2,84970644,85059472
RAB23,6,57186992,57222848
TYW3,1,74733152,74767555
DUSP14,17,37488397,37513517
IL12A,3,159988835,159996019
MBP,18,76978827,77133683
UBE2A,X,119474802,119591083
EGFLAM,5,38258409,38465480
CCDC188,22,20148416,20151055
HNRNPDL,4,82422565,82430471
LGI4,19,35124510,35142451
H2AC15,6,27835508,27838375
MGAT5,2,134119933,134454621
PGM3,6,83147324,83194005
OR4X2,11,48245104,48246015
LRRC19,9,26993136,27005709
SHBG,17,7613946,7633469
AK6,5,69350984,69370013
SRRD,22,26483877,26494658
R3HCC1,8,23270120,23296279
LAYN,11,111540280,111561745
KRTAP5-9,11,71548420,71549608
NICN1,3,49422333,49429326
RSPH4A,6,116616479,116632985
SLC2A5,1,9035106,9088478
TSPAN31,12,57738013,57750219
ZNF283,19,43827321,43852017
OR13C9,9,104617248,104618204
KIF5A,12,57546026,57586633
TMEM109,11,60912521,60923443
DEFB118,20,31368601,31373923
RIMS4,20,44751808,44810546
RNASE2,14,20955487,20956436
ZYG11B,1,52726447,52827336
CLIP4,2,29095545,29199777
AKAP10,17,19904302,19978343
OPCML,11,132414977,133532501
CCT8L2,22,16590751,16592810
CFAP298,21,32592079,32612845
MRPL20,1,1401908,1407306
KLF6,10,3775996,3785281
CCL23,17,36013056,36017972
KCTD16,5,144170873,144485686
PLEKHM2,1,15681461,15734769
FRMD5,15,43870761,44195271
USP27X,X,49879484,49882558
CD19,16,28931965,28939342
SUMF2,7,56064002,56080670
PIRT,17,10822470,10838087
MYOM1,18,3066693,3220126
ERCC3,2,127257285,127294188
RIT1,1,155897808,155911408
ZNF142,2,218633329,218659655
ZNF622,5,16451518,16465811
ABCC9,12,21797389,21942543
SLC25A5,X,119468395,119471396
LVRN,5,115962454,116027619
SNX20,16,50666300,50681743
MGRN1,16,4616493,4690977
CFAP100,3,126394656,126436556
GPR18,13,99254732,99261744
ADCYAP1,18,904871,912172
SEH1L,18,12947133,12987667
ESYT3,3,138434586,138481686
BUB3,10,123154395,123170467
EIF2D,1,206571292,206612514
KIR2DS4,19,54832676,54848569
SENP6,6,75601509,75718281
HTN1,4,70050438,70058848
PPP2R3C,14,35085467,35122532
XYLB,3,38346760,38421348
SPTLC1,9,92000087,92115433
LINC02801,1,87186535,87295477
INVS,9,100098699,100306072
MSH2,2,47403067,47663146
GALNT7,4,173168811,173323967
GATC,12,120446444,120463749
CAPN10,2,240586383,240617705
TREM1,6,41267100,41286682
LRR1,14,49598761,49614672
STT3A,11,125591712,125625215
DPH3,3,16257061,16264982
ZNF878,19,12040992,12052972
CFAP126,1,161364733,161367885
KCTD13,16,29905012,29926236
SRF,6,43171269,43181506
SPRR4,1,152970648,152972574
CRCP,7,66114604,66154568
ORC5,7,104126341,104208047
CLPSL2,6,35776535,35779557
CATSPERG,19,38335775,38370943
SVEP1,9,110365248,110579880
FANCI,15,89243854,89318091
SEPTIN14,7,55793540,55862755
FOXD4L3,9,68302867,68305084
ANP32E,1,150218417,150236202
GNPDA2,4,44682200,44726588
PLAT,8,42174718,42207709
DLX1,2,172084740,172089677
B4GALT7,5,177600114,177611056
VCAN,5,83471618,83582303
IL36RN,2,113058638,113065382
TMEM186,16,8780384,8797763
RPP25,15,74954418,74956772
RNF13,3,149809445,149962153
FOXI1,5,170105897,170109734
DHX40,17,59565558,59610481
GMNC,3,190852737,190892429
CSNK1E,22,38290691,38320044
TOGARAM2,2,28956506,29052236
ATP6V0B,1,43974487,43978295
NXNL2,9,88534033,88584274
PCDHA9,5,140847772,141012347
XPOT,12,64404168,64451129
AMY2A,1,103617427,103625780
MYC,8,127735434,127742951
SCUBE1,22,43197280,43343375
FAM131B,7,143353400,143362815
NCAM1,11,112961275,113278436
SYTL4,X,100671783,100732151
VWA3B,2,98087116,98313299
FAM89A,1,231018958,231040254
FSBP,8,94378377,94436952
BCL2L13,22,17628848,17730855
DUSP19,2,183078559,183100008
NUP188,9,128947683,129007835
RNF185,22,31160158,31207019
SOX14,3,137764315,137766334
HSFX1,X,149774068,149776867
RTKN2,10,62183035,62268844
MRPL24,1,156737294,156741590
TMEM134,11,67461710,67469288
CAPN9,1,230747348,230804397
IFNA5,9,21304326,21305313
TOMM6,6,41787652,41790064
NAB1,2,190646746,190692769
UBR4,1,19074510,19210266
C1orf162,1,111473792,111478512
TUBB2B,6,3223324,3231730
SHROOM2,X,9786429,9949443
SLC7A2,8,17496975,17570573
ARTN,1,43933320,43937244
DIO2,14,80197526,80387757
C1QC,1,22642558,22648110
BEX3,X,103376299,103378301
RRM2B,8,102204502,102239382
SLC1A1,9,4490225,4587469
GJA4,1,34792997,34795756
RBMY1D,Y,21880076,21894526
SERPIND1,22,20774112,20787721
BSPH1,19,47968046,47992170
POTED,21,13609777,13645823
FKBP7,2,178463664,178478600
GSTT4,22,23998401,24005453
DUS4L,7,107563484,107579483
TUSC2,3,50320027,50328251
PARK7,1,7954264,7985505
SEMA4G,10,100969498,100985871
MRPL38,17,75898643,75905093
LRRC7,1,69567922,70151945
OR8S1,12,48525632,48526570
SYT13,11,45240302,45286341
IL17B,5,149371324,149404202
PDCD6,5,271621,314974
DDIAS,11,82899975,82958277
TMEM238,19,55379244,55384292
SLC15A1,13,98683801,98752836
PCNP,3,101574180,101594465
ZNF497,19,58354357,58362848
GRIP1,12,66347431,67069162
PDIA4,7,149003046,149028662
CYB5R1,1,202961118,202967277
P2RY8,Y,1462572,1537187
RPL7A,9,133348194,133351435
KCNH3,12,49539028,49558337
GTF2H2C_2,HSCHR5_2_CTG1_1,965310,997934
PLEKHA7,11,16777297,17014420
TMEM219,16,29940885,29973052
GPR31,6,167155247,167157980
POMC,2,25160853,25168903
CHCHD10,22,23765834,23767982
SMIM8,6,87322580,87399749
ADO,10,62804720,62808479
OR1E2,17,3432870,3433841
ALAS2,X,55009055,55030986
PNKP,19,49859882,49878351
SEPSECS,4,25120014,25160550
TMEM11,17,21197954,21214595
ACTR3,2,113889600,113962596
ZNF239,10,43554516,43574623
CALCRL,2,187341946,187448506
MPG,16,77007,85851
ULBP1,6,149963943,149973715
SIK1,21,43414483,43427131
MAGOH,1,53226890,53238621
FUOM,10,133353952,133358039
ACTR10,14,58200080,58235636
TMEM174,5,73173193,73175143
COL2A1,12,47972967,48004689
HOXA10,7,27170605,27180261
CTAG1B,X,154617609,154619282
KLF12,13,73686089,74134922
FANCM,14,45135909,45200890
EXD2,14,69191498,69244020
MAPK9,5,180233143,180292099
SIRT1,10,67884656,67918390
PMM1,22,41576896,41595275
CNFN,19,42387019,42390297
GMCL2,5,178184505,178187371
TTC3,21,37073226,37203112
MASP2,1,11022009,11047241
GEMIN8,X,13998099,14029928
MIPOL1,14,37197891,37579125
LSM6,4,146175685,146204436
GK,X,30653359,30731462
GABRA6,5,161547063,161702593
CCDC74B,2,130139287,130145134
CPNE9,3,9703691,9729908
FBLIM1,1,15756604,15786594
CTRC,1,15438442,15449242
SPATA33,16,89657740,89671272
CEP350,1,179954674,180114880
MSS51,10,73423579,73433561
BPIFB2,20,33007704,33023709
TMEM95,17,7355123,7357219
ACSL4,X,109624244,109733403
MEP1B,18,32185069,32220404
ADHFE1,8,66432467,66468907
SARDH,9,133663528,133739976
TTC5,14,20256558,20305963
LGALS3BP,17,78971238,78979962
FERMT1,20,6070288,6123644
CCL16,17,35976194,35981537
DUSP3,17,43766121,43779000
G2E3,14,30559148,30620064
DLX3,17,49990005,49995224
MAP3K6,1,27355180,27366972
MALSU1,7,23298739,23311729
TGS1,8,55773432,55826445
COL9A3,20,62816244,62841163
POLR3A,10,77953148,78029549
GRINA,8,143990053,143993427
NPHP1,2,110122311,110205066
PLEKHG6,12,6310225,6328934
MFSD14B,9,94374403,94461042
SRSF7,2,38743599,38751494
IQSEC1,3,12897043,13283281
GTF3C2,2,27324198,27357187
GDF15,19,18374731,18389176
RAB26,16,2140803,2154165
CDK15,2,201790461,201895550
MFSD1,3,158732198,158829719
PSG7,19,42924132,42937207
SLC43A2,17,1569268,1630103
GDPD4,11,77216558,77301687
CYP27A1,2,218781738,218815293
PHYHIPL,10,59176643,59247774
ZNF44,19,12224686,12294883
MRPL23,11,1947278,1986375
CD84,1,160541095,160579516
QPCTL,19,45692403,45703989
EVC,4,5711201,5814305
MTFR1,8,65644684,65771261
FCN2,9,134880714,134890508
CTNNA2,2,79185231,80648861
EIF4E3,3,71675414,71754773
GTSF1L,20,43726164,43727002
ATAD1,10,87751512,87842355
CFHR5,1,196975010,197009678
AKT1S1,19,49869033,49879470
TXNDC2,18,9885766,9889275
SKAP1,17,48133437,48430275
ACRV1,11,125671522,125680874
PLSCR5,3,146576555,146605346
CADM3,1,159171609,159203313
TSPO2,6,41042467,41044337
CCDC18,1,93179895,93279048
DPY19L2,12,63558913,63668939
SRRT,7,100875065,100888664
SRRM4,12,118981541,119163051
RNF138,18,32091871,32131561
PPIL2,22,21666000,21700015
DNAJB14,4,99896248,99946653
GSK3B,3,119821321,120094994
ZRANB2,1,71063251,71081289
RPL26,17,8377503,8384062
NSMCE4A,10,121953334,121975257
LINC02767,1,207909992,207986863
HCAR2,12,122701293,122703357
LTB,6,31580525,31582522
SERF1B,5,70025251,70043113
TMEM81,1,205083129,205084460
SCNN1G,16,23182677,23216883
ADGRB1,8,142449430,142545009
ODF1,8,102551589,102561018
DDX39A,19,14408798,14419383
GJC3,7,99923266,99929620
TVP23A,16,10760919,10818794
ZNF556,19,2867335,2883445
CERS3,15,100400395,100544995
ZBED2,3,111592900,111595346
AQP5,12,49961811,49965682
SLFNL1,1,41015589,41024551
IDO2,8,39934614,40016392
ZNF607,19,37696363,37719775
RC3H2,9,122844556,122905513
RPL3,22,39312870,39320389
METTL6,3,15381061,15440566
SFTPC,8,22156913,22164479
ZFAND2B,2,219195237,219209651
SIGLEC9,19,51124906,51140470
ALDH7A1,5,126531200,126595362
LGALS9,17,27629798,27649561
TM9SF2,13,99446311,99564048
ZC3H15,2,186486222,186511929
RCE1,11,66842835,66846552
TBC1D3F,17,36428612,36439566
TEX35,1,178513109,178548602
GALNT2,1,230057990,230282128
GALNT15,3,16174573,16231992
CHD7,8,60678740,60868028
TMEM30A,6,75252924,75284948
UPK3B,7,76510525,76516522
HEY2,6,125747664,125761269
PRDX6,1,173476814,173489064
ULK2,17,19770829,19867937
UBA52,19,18571730,18577550
SPDYE16,7,76531313,76543297
BPIFB1,20,33273480,33310380
FAM178B,2,96875882,96986580
PRSS8,16,31131433,31135727
PPIL4,6,149504495,149546092
CASP12,11,104885718,104898670
HMX2,10,123148136,123150672
PPP1R15A,19,48872212,48876291
AMY2B,1,103553815,103579534
STEAP3,2,119222447,119265652
FOXR1,11,118971712,118981287
OR5T2,11,56231282,56234255
NINL,20,25451594,25585586
PKP4,2,158456900,158682879
GLIPR2,9,36136536,36163913
EIF2A,3,150546678,150586016
GCH1,14,54842008,54903280
MMP12,11,102862736,102874982
FGA,4,154583126,154590745
BARD1,2,214725646,214809707
CTDSPL2,15,44427599,44529038
WDR5B,3,122411846,122416464
DDX21,10,68956135,68985072
CCDC158,4,76312997,76421868
LYPLA1,8,54046367,54102017
EP300,22,41091816,41180077
CDC42SE2,5,131245493,131398447
PSMA2,7,42916828,42932223
C10orf53,10,49679651,49710261
KIF2B,17,53822927,53825193
SPAG11A,8,7847876,7868867
LGALS7B,19,38789200,38791754
WRAP53,17,7686071,7703505
KCNIP4,4,20728606,21948772
KCNG1,20,51003655,51023244
ACMSD,2,134838312,134902906
PSMD14,2,161308414,161411720
MUC5B,11,1223066,1262172
MKKS,20,10401009,10434222
UBE2C,20,45812576,45816957
ZC3H12C,11,110093392,110171841
SERAC1,6,158109515,158168295
PCNX3,11,65615754,65637441
NAP1L4,11,2944429,2992386
GPR4,19,45589764,45602556
ZNF276,16,89720400,89740925
WDR43,2,28894638,28948223
GAL3ST3,11,66040748,66049502
TUBB1,20,59019429,59026654
SERPINF2,17,1742069,1755271
AFAP1,4,7758713,7939926
CEACAM1,19,42507304,42561234
FARP1,13,98142165,98455176
SCGB1D4,11,62296281,62299075
ANKFN1,17,55882301,56517016
IGSF1,X,131273506,131578899
ZDHHC24,11,66520625,66546235
LPAR4,X,78747680,78758724
CXCR4,2,136114349,136119177
FCHSD2,11,72836742,73142346
FGF3,11,69809968,69819416
RHBDL2,1,38885807,38941830
DLL1,6,170282202,170306565
CD70,19,6583183,6604103
LACTBL1,1,22953043,22972866
CDNF,10,14818270,14838575
MTX2,2,176269395,176338025
MYNN,3,169773377,169789716
GPR176,15,39799008,39920936
FILIP1,6,75291859,75493800
